category	id	canonicalId	in-game-name	via	resolved-title	image-filename	flags
sea_creatures	octopus	octopus	Octopus	b:disambig	Octopus (deep-sea creature)	Octopus_NH.png	-
sea_creatures	pearl-oyster	pearl-oyster	Pearl Oyster	override	Pearl oyster (deep-sea creature)	Pearl_oyster_nh.png	-
sea_creatures	scallop	scallop	Scallop	a:bare	Scallop	Scallop_nh.png	-
sea_creatures	clam	clam	Clam	a:bare	Clam	Clam.png	-
sea_creatures	whelk	whelk	Whelk	a:bare	Whelk	Whelk_nh.png	-
sea_creatures	mantis-shrimp	mantis-shrimp	Mantis Shrimp	a:bare	Mantis shrimp	Mantis_Shrimp_NH.png	-
sea_creatures	lobster	lobster	Lobster	b:disambig	Lobster (deep-sea creature)	Lobster_NH.png	-
sea_creatures	oyster	oyster	Oyster	a:bare	Oyster	Oyster_nh.png	-
sea_creatures	turban-shell	turban-shell	Turban Shell	a:bare	Turban shell	Turban_shell_nh.png	-
sea_creatures	abalone	abalone	Abalone	a:bare	Abalone	Abalone_nh.png	-
sea_creatures	mussel	mussel	Mussel	a:bare	Mussel	Mussel_nh.png	-
sea_creatures	sea-urchin	sea-urchin	Sea Urchin	a:bare	Sea urchin	600px-Sea_Urchin_NH.png	-
sea_creatures	sea-cucumber	sea-cucumber	Sea Cucumber	a:bare	Sea cucumber	Sea_cucumber_nh.png	-
sea_creatures	sea-grapes	sea-grapes	Sea Grapes	a:bare	Sea grapes	Sea_grapes_nh.png	-
sea_creatures	sea-pineapple	sea-pineapple	Sea Pineapple	a:bare	Sea pineapple	Sea_Pineapple_NH.png	-
sea_creatures	nautilus	nautilus	Nautilus	a:bare	Chambered nautilus	Chambered_nautilus_nh.png	-
sea_creatures	firefly-squid	firefly-squid	Firefly Squid	a:bare	Firefly squid	NH-Critterpedia-Firefly_squid.png	-
sea_creatures	tiger-prawn	tiger-prawn	Tiger Prawn	a:bare	Tiger prawn	Tiger_Prawn_NH.png	-
sea_creatures	sakura-shrimp	sakura-shrimp	Sakura Shrimp	none	-	-	UNRESOLVED
sea_creatures	snow-crab	snow-crab	Snow Crab	a:bare	Snow crab	Snow_Crab_NH.png	-
sea_creatures	red-king-crab	red-king-crab	Red King Crab	a:bare	Red king crab	Red_King_Crab_NH.png	-
sea_creatures	dungeness-crab	dungeness-crab	Dungeness Crab	a:bare	Dungeness crab	NH-Critterpedia-Dungeness_crab.png	-
sea_creatures	spiny-lobster	spiny-lobster	Spiny Lobster	a:bare	Spiny lobster	Spiny_Lobster_NH.png	-
sea_creatures	horseshoe-crab	horseshoe-crab	Horseshoe Crab	a:bare	Horseshoe crab	Horseshoe_Crab_NH.png	-
sea_creatures	giant-isopod	giant-isopod	Giant Isopod	a:bare	Giant isopod	Giant_Isopod_NH.png	-
sea_creatures	moon-jellyfish	moon-jellyfish	Moon Jellyfish	a:bare	Moon jellyfish	Moon_jellyfish_nh.png	-
sea_creatures	blue-jellyfish	blue-jellyfish	Blue Jellyfish	none	-	-	UNRESOLVED
sea_creatures	sea-angel	sea-angel	Sea Angel	none	-	-	UNRESOLVED
sea_creatures	venus-flower-basket	venus-flower-basket	Venus' Flower Basket	a:bare	Venus' flower basket	NH-Critterpedia-Venus%27_flower_basket.png	-
sea_creatures	flatworm	flatworm	Flatworm	a:bare	Flatworm	Flatworm_NH.png	-
sea_creatures	spotted-garden-eel	spotted-garden-eel	Spotted Garden Eel	a:bare	Spotted garden eel	Spotted_Garden_Eel_NH.png	-
sea_creatures	acorn-barnacle	acorn-barnacle	Acorn Barnacle	a:bare	Acorn barnacle	Acorn_Barnacle_NH.png	-
